id,timestamp,pressure,humidity,co2_level,temperature,location,battery_level,status
1,2024-10-05 22:36:14,10,51.77,5604,30,data center,68,active
2,2024-12-06 15:27:36,93,42.6,7677,3,controlling center,36,inactive
3,2024-12-17 02:27:13,25,33.27,21484,14,factory,42,active
4,2024-11-26 10:24:38,2,77.45,19168,30,factory,11,error
5,2024-11-07 13:17:46,66,31.49,9247,8,data center,3,active
6,2025-02-26 13:46:07,63,81.79,5683,29,data center,10,error
7,2025-04-08 16:22:44,62,25.07,5749,31,data center,52,inactive
8,2024-11-17 07:27:07,54,35.52,17218,28,factory,30,error
9,2025-01-12 00:19:30,81,92.56,12424,19,data center,13,active
10,2024-08-20 00:28:34,34,25.65,6192,7,distribution center,12,error
11,2025-01-17 02:52:26,121,70.51,6439,8,warehouse,59,active
12,2024-06-24 03:05:33,92,51.67,13354,10,warehouse,5,inactive
13,2024-07-11 23:10:57,22,32.74,5086,24,warehouse,87,inactive
14,2024-04-26 03:02:01,69,14.31,23291,9,distribution center,77,inactive
15,2024-06-10 12:23:26,22,64.1,20994,16,distribution center,78,inactive
16,2024-06-12 15:48:14,9,9.27,3336,12,distribution center,46,active
17,2024-07-26 09:12:45,80,45.6,11410,37,factory,24,active
18,2024-10-28 17:55:49,119,38.9,7712,3,warehouse,54,error
19,2024-09-21 21:05:25,148,84.3,10280,8,distribution center,60,active
20,2025-02-07 19:25:54,32,44.99,8742,25,controlling center,10,error
21,2024-04-28 21:47:06,45,32.36,9144,40,warehouse,88,inactive
22,2025-03-07 03:29:13,82,2.02,10253,5,warehouse,33,active
23,2024-03-21 21:33:24,50,34.51,11338,6,data center,30,active
24,2024-05-20 13:21:53,140,19.81,16047,39,distribution center,100,active
25,2025-02-11 04:45:37,100,43.93,27444,1,controlling center,28,inactive
26,2024-06-14 23:52:01,43,69.1,18368,40,factory,62,error
27,2025-03-06 22:25:12,15,40.43,21534,8,controlling center,70,active
28,2024-11-26 13:55:34,111,44.26,20689,17,data center,7,inactive
29,2025-02-16 23:55:07,41,42.35,29923,28,warehouse,70,error
